post_id,correctness_human,completeness_human,justification_human,actionability_human,clarity_human,overall_human
ddad0523-91a0-49d0-81ca-4d57368929c6,3.0,2.0,3.0,2.0,4.0,3.0
ddd2cfba-160e-4baf-bbf7-5c34c331b29f,2.0,1.0,2.0,1.0,3.0,2.0
dfe113c7-2847-4ca5-aa1e-ab10fb558925,3.0,2.0,3.0,1.0,4.0,3.0
e0528b00-2e68-4bf7-bf18-6a9ee1b32021,1.0,1.0,1.0,1.0,2.0,1.0
e0d239b8-4268-4727-8011-5b848cf45e1b,1.0,1.0,1.0,1.0,2.0,1.0
e168af54-d16a-4e96-a322-6314e36c8c82,1.0,1.0,1.0,1.0,2.0,1.0
e1ed875c-db4e-453e-817a-b7d521734b57,4.0,4.0,4.0,4.0,4.0,4.0
e4fcef65-c98e-4194-a4eb-4841ed58348f,1.0,1.0,1.0,1.0,3.0,1.0
e63a1feb-d727-4b73-9a62-f716df96d84a,4.0,3.0,3.0,2.0,4.0,4.0
e809f862-ca7a-4b41-bf36-b170238ef609,3.0,3.0,3.0,2.0,3.0,3.0
e9f4426e-53c7-4b7f-bfb1-dd8008673cef,4.0,4.0,4.0,4.0,4.0,4.0
eb3263d6-0f3c-41b9-9a9c-a29e094f9dd4,2.0,2.0,2.0,1.0,4.0,2.0
eca62d90-59bb-4205-b0e9-399d938b91d8,3.0,3.0,3.0,3.0,4.0,3.0
ed8bcfdf-15c3-4017-8281-610076ca19b5,4.0,2.0,3.0,2.0,4.0,3.0
ee584b1e-261c-4363-99cf-bd075375bc8e,3.0,2.0,3.0,1.0,3.5,2.5
ef0535ae-69e1-49ba-aaf4-30fa65b8918e,4.0,3.0,3.0,3.0,4.0,4.0
efef0273-0716-45ed-bbf6-3c2b2d37d0f2,1.0,1.0,1.0,1.0,3.0,1.0
f068de06-af76-467f-90c7-a8980905c295,4.0,3.0,3.0,2.0,4.0,4.0
f2cf4686-5e8f-4704-bf93-6241a2e7f802,1.0,1.0,1.0,1.0,3.0,1.0
f5377b4a-cdc0-460b-b468-91549867b79d,2.0,2.0,2.0,1.0,4.0,2.0
f57cd844-3271-47d5-ac6b-b66e5cdc0634,1.0,1.0,1.0,1.0,3.0,1.0
f677be4e-0ff3-4eaf-9331-65835d3c670b,4.0,2.0,3.0,2.0,4.0,3.0
f6aa9282-f77a-4e79-a6d6-c52701112a5f,1.0,1.0,1.0,2.0,3.0,1.0
f8422be5-dc98-4a48-b664-d64052188693,4.0,4.0,4.0,3.0,4.0,4.0
f87efdec-e975-4910-9cae-47bc51562e09,3.0,3.0,3.0,3.0,4.0,4.0
f96a9349-617e-4a25-90cc-617009b1ec77,2.0,2.0,2.0,2.0,4.0,2.0
fb88e769-4aeb-4714-bdd7-7a98a7b04f80,2.0,1.0,1.0,1.0,4.0,2.0
fc6f3b25-d9b7-43dd-be98-a8187dd720ec,2.0,1.0,2.0,1.0,4.0,2.0
fc9e43ab-da2b-41f5-ae4f-3d67e4b8e0f1,1.0,1.0,1.0,1.0,2.0,1.0
fde03ed4-d7ce-45fa-9b0f-a18b0c905bd2,3.0,2.0,2.0,2.0,2.5,2.5
fdfc0f5f-aa81-42e3-a03a-04e9101eb7a5,3.0,3.0,3.0,1.0,4.0,3.0
